,名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
57,卤香阁VS卤汁饭（武生店）,3043,0.0,0,简餐,4.6,32,488,558,武汉市新洲区阳逻街武湖村汉施公路1号东街美食城B栋1层16号
58,卤香阁VS卤汁饭（武生店）,3043,0.0,0,简餐,4.6,32,488,558,武汉市新洲区阳逻街武湖村汉施公路1号东街美食城B栋1层16号
59,奇米克蛋糕(武生店）,47,2.0,20,蛋糕,5.0,37,7,987,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场2栋4号
60,轻食煮艺·沙拉暖食,259,2.0,15,西餐,4.8,37,55,906,武汉市新洲区阳逻街桥头村6组20号
61,开心猫串串香(武生店),119,1.0,10,简餐,4.8,34,81,721,武汉市新洲区阳逻街汉施路特1号武生院洞庭水街2号
62,后街长沙臭豆腐(武生店),277,1.0,10,地方小吃,4.6,37,28,1000,武汉市新洲区阳逻街桥头村六组517号
63,茶本茶(武生店),446,1.0,8,奶茶果汁,4.9,37,161,905,武汉市新洲区阳逻街桥头村五组457号
64,麻辣香锅(武生店),648,2.0,15,香锅砂锅,4.1,37,28,618,武汉市新洲区阳逻街汉施路1号武生院商业街西区18号
65,宜百味泡面食堂(武生店),211,1.0,12,简餐,4.3,37,43,654,武汉市新洲区阳逻街汉施大道特1号（武汉生物工程学院内）
66,漢香缘黄焖鸡米饭（武生店）,247,2.0,10,黄焖鸡米饭,4.2,32,40,591,武汉市新洲区阳逻汉施公路1号武湖东街美食城B栋1层3号
67,漢香缘黄焖鸡米饭（武生店）,247,2.0,10,黄焖鸡米饭,4.2,32,40,591,武汉市新洲区阳逻汉施公路1号武湖东街美食城B栋1层3号
68,神户铁板烧(武生店),2638,1.8,13,简餐,4.4,37,788,1113,武汉市新洲区仓埠街杨裴村58
69,蜜雪冰城(武生店),107,2.0,8,奶茶果汁,4.8,37,9,705,武汉市新洲区阳逻街汉施路特1号武汉生物工程学院商业街A122号商铺
70,轻轨站正新鸡排(武生店),496,2.0,10,炸鸡炸串,4.5,32,56,620,武汉市新洲区阳逻街武湖村1栋1-5层1-1-29号
71,山东大馅水饺(武生店),1693,1.0,0,饺子馄饨,4.5,36,356,323,武汉市新洲区阳逻街汉施路1号武生院四季村1号
72,江西瓦罐汤（武生院店）,590,1.0,10,米粉面馆,4.7,37,37,796,武汉市新洲区阳逻街武汉生物工程学院商业街西区25号
73,美味佳肴（武生店）,328,0.0,10,盖浇饭,4.8,30,17,264,武汉市新洲区阳逻街武生院商业街西区28号
74,可可烘焙（武生店）,60,1.5,15,蛋糕,4.3,37,7,893,武汉市新洲区阳逻街汉施路特1号武生院商业街
75,吉米家（武生院店）,615,2.0,15,简餐,4.6,30,39,166,武汉市新洲区阳逻街汉施路特1号武汉生物工程学院商业街B146号
76,吉米家（武生院店）,615,2.0,15,简餐,4.6,30,39,166,武汉市新洲区阳逻街汉施路特1号武汉生物工程学院商业街B146号
77,卤汁拌饭(武生店),220,0.0,0,川湘菜,4.6,35,20,918,武汉市新洲区阳逻街桥头村六组19号
78,爱尚锁骨鸡,681,1.0,10,简餐,4.7,37,54,851,武汉市新洲区阳逻街汉施路特1号武生院西区商业街13-B号
79,程记炸酱面（武生店）,322,1.5,10,米粉面馆,4.4,37,33,893,武汉市新洲区阳逻街汉施路特1号武生院商业街B207
80,贵哥卤肉卷（武生店）,40,0.0,0,地方小吃,4.7,32,3,802,武汉市新洲区阳逻街武汉生物工程学院商业街北十6号
81,香辣情麻辣香锅(武生店),1028,1.0,0,盖浇饭,4.4,34,595,1089,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场1栋19号
82,万佳坊（武生店）,854,2.0,0,盖浇饭,4.4,30,26,264,武汉市新洲区阳逻街武生院商业街西区10号
83,至尊椒香烤鸭饭(武生店),2630,0.0,0,盖浇饭,4.7,36,246,1,武汉市新洲区阳逻街汉施路1号武湖东街美食城B栋1层13号铺
84,元和过桥米线(武生店),439,0.0,0,米粉面馆,4.8,34,22,445,武汉市新洲区阳逻街武生院商业街137号
85,元和过桥米线(武生店),439,0.0,0,米粉面馆,4.8,34,22,445,武汉市新洲区阳逻街武生院商业街137号
86,冯记招牌水煮鱼(武生店),1913,1.5,10,简餐,4.6,32,142,768,武汉市新洲区阳逻街汉施路1号武生院西区商业街25-2号
87,黄蜀郎鸡公煲（武生店）,826,2.0,16,香锅砂锅,4.4,37,34,675,武汉市新洲区阳逻街汉施路特1号武生院东区商业街B205
88,乐滋烤肉脆皮鸡饭,437,0.0,10,简餐,4.5,37,17,899,武汉市新洲区阳逻街桥头村六组6-5号
89,陈香记三鲜煲(武生店),771,0.0,0,简餐,4.5,37,104,889,武汉市新洲区阳逻街桥头村五组504号
90,星食茶(武生店),55,1.0,15,奶茶果汁,4.9,37,6,847,武汉市新洲区阳逻街汉施路特1号武生院商业街西区15-C
91,呀卤吖(武生院店),191,2.0,12,简餐,4.6,37,21,551,武汉市新洲区阳逻街武湖村1栋(武汉东街)1楼3号
92,华莱士炸鸡汉堡(武生店),1501,2.0,25,汉堡,4.1,38,244,598,武汉市新洲区阳逻街武湖村生物工程学院商业街129号
93,风味卤汁饭,408,2.0,10,简餐,4.5,30,45,278,武汉市新洲区阳逻街汉施路1号武生院四季村门店2号
94,风味卤汁饭,408,2.0,10,简餐,4.5,30,45,278,武汉市新洲区阳逻街汉施路1号武生院四季村门店2号
95,随便点(武生店),756,2.0,15,米粉面馆,4.5,37,171,897,武汉市新洲区阳逻街汉施路1号武生院西区商业街11号
96,老北京爆肚,1155,0.0,0,简餐,4.7,37,154,827,武汉市新洲区阳逻街高新街58号
97,梅花王蛋糕（武生店）,51,2.0,20,蛋糕,4.8,34,18,707,武汉市新洲区阳逻街汉施路特1号武生院商业街B139
98,东区茶物语,702,1.0,8,炸鸡炸串,4.9,30,116,416,武汉市新洲区阳逻街汉施路特1号武生院东区商业街110-4号
99,飞毛腿便利店（武生店）,220,1.0,5,便利店,4.9,34,9,820,武汉市新洲区阳逻街汉施路特1号武生院西区商业街33-A
100,叫了个炸鸡,526,2.0,13,汉堡,4.3,37,20,749,武汉市新洲区阳逻街汉施路特1号武生院商业街C164号
